datum,PG1,PG2,PG3,LG1,LG2,LG3,TT,TP
31.07.2020_01:24,232,234,230,201,198,200,200,125
31.07.2020_01:34,233,234,235,202,199,199,200,124
31.07.2020_01:44,231,235,234,196,200,201,199,125
31.07.2020_01:54,233,237,231,205,200,200,199,124
31.07.2020_02:04,231,237,231,202,202,200,199,125
31.07.2020_02:14,235,236,233,199,201,199,199,124
31.07.2020_02:24,231,237,236,197,200,200,153,124
31.07.2020_02:34,233,238,231,203,198,196,199,125
31.07.2020_02:44,230,239,236,200,200,196,200,125
31.07.2020_02:54,235,240,232,199,201,198,199,124
31.07.2020_03:04,232,238,235,204,201,199,199,125
31.07.2020_03:14,233,239,232,200,200,200,200,125
31.07.2020_03:24,230,238,231,197,196,202,173,125
31.07.2020_03:34,235,233,230,197,199,201,201,124
31.07.2020_03:44,230,231,235,195,200,203,195,125
31.07.2020_03:54,234,233,232,204,196,203,166,125
31.07.2020_04:04,225,235,233,200,200,205,163,124
31.07.2020_04:14,231,233,231,196,197,202,200,124
31.07.2020_04:24,231,231,233,204,200,201,188,125
31.07.2020_04:34,233,231,233,199,200,199,199,125
31.07.2020_04:44,230,233,232,195,202,201,199,125
31.07.2020_04:54,235,236,231,204,198,202,199,125
31.07.2020_05:04,228,238,232,197,201,202,200,124
31.07.2020_05:14,235,240,235,196,200,206,199,125
31.07.2020_05:24,230,239,231,204,199,199,199,105
31.07.2020_05:34,234,239,235,200,197,199,199,102
31.07.2020_05:44,230,238,232,198,198,204,200,100
31.07.2020_05:54,234,238,231,203,198,203,200,100
31.07.2020_06:04,231,237,234,196,201,201,200,99
31.07.2020_06:14,232,237,233,201,199,203,200,99
31.07.2020_06:24,232,237,233,204,201,201,199,99
31.07.2020_06:34,233,238,235,201,198,200,199,100
31.07.2020_06:44,231,237,230,199,198,197,199,100
31.07.2020_06:54,232,236,233,202,199,196,200,99
31.07.2020_07:04,233,237,235,199,198,200,199,99
31.07.2020_07:14,232,239,233,194,202,200,199,99
31.07.2020_07:24,236,237,233,203,200,202,190,100
31.07.2020_07:34,228,229,233,200,196,200,177,100
31.07.2020_07:44,234,229,232,198,198,195,200,99
31.07.2020_07:54,233,229,232,202,202,203,200,99
31.07.2020_08:04,230,227,235,197,198,205,200,100
31.07.2020_08:14,234,229,231,203,199,206,200,99
31.07.2020_08:24,230,227,233,200,199,202,200,100
31.07.2020_08:34,235,228,235,195,198,202,200,100
31.07.2020_08:44,229,227,229,202,198,201,198,99
31.07.2020_08:54,235,227,234,203,198,200,199,99
31.07.2020_09:04,230,227,233,202,202,200,201,99
31.07.2020_09:14,234,226,230,204,198,196,199,99
31.07.2020_09:24,232,227,233,200,202,195,200,100
31.07.2020_09:34,231,226,233,196,202,195,200,100
31.07.2020_09:44,233,227,231,204,198,197,199,99
31.07.2020_09:54,231,228,234,198,201,201,146,100
31.07.2020_10:04,235,228,230,197,201,200,199,99
31.07.2020_10:14,228,229,235,202,198,201,199,99
31.07.2020_10:24,233,230,230,196,203,202,200,100
31.07.2020_10:34,231,230,235,202,198,200,200,99
31.07.2020_10:44,232,230,228,203,200,200,190,90
31.07.2020_10:54,203,216,223,192,188,183,137,83
31.07.2020_11:04,195,210,226,191,197,186,130,78
31.07.2020_11:14,236,238,236,201,200,200,188,71
31.07.2020_11:24,230,240,234,202,203,199,200,67
31.07.2020_11:34,228,238,235,196,201,197,199,64
31.07.2020_11:44,236,239,232,198,200,201,201,64
31.07.2020_11:54,231,239,234,204,200,197,200,62
31.07.2020_12:04,233,238,231,198,201,198,200,62
31.07.2020_12:14,234,236,232,198,198,201,199,62
31.07.2020_12:24,231,234,235,203,202,201,199,63
31.07.2020_12:34,236,234,231,196,196,204,200,62
31.07.2020_12:44,230,233,236,202,201,199,198,119
31.07.2020_12:54,235,231,232,201,201,200,195,100
31.07.2020_13:04,231,229,235,197,198,204,200,100
31.07.2020_13:14,235,229,230,197,201,201,199,99
31.07.2020_13:24,231,229,233,203,201,202,199,99
31.07.2020_13:34,235,229,232,200,198,199,199,100
31.07.2020_13:44,231,234,234,198,199,197,200,100
31.07.2020_13:54,234,234,233,202,198,195,199,100
31.07.2020_14:04,231,235,231,203,198,198,199,99
31.07.2020_14:14,234,237,235,197,199,197,200,100
31.07.2020_14:24,231,237,230,199,200,196,200,100
31.07.2020_14:34,232,237,236,205,197,196,199,100
31.07.2020_14:44,235,236,231,196,202,195,174,100
31.07.2020_14:54,228,237,235,199,201,200,176,100
31.07.2020_15:04,233,231,232,198,199,199,200,100
31.07.2020_15:14,231,229,234,203,199,202,199,99
31.07.2020_15:24,235,231,233,194,200,199,200,100
31.07.2020_15:34,229,236,233,204,201,196,200,100
31.07.2020_15:44,232,237,233,198,198,201,156,100
31.07.2020_15:54,229,229,233,202,202,201,175,100
31.07.2020_16:04,235,227,232,200,201,200,193,99
31.07.2020_16:14,231,226,232,195,198,198,185,100
31.07.2020_16:24,232,233,231,196,199,200,200,100
31.07.2020_16:34,232,233,233,200,201,198,200,100
31.07.2020_16:44,233,236,234,203,199,201,199,99
31.07.2020_16:54,231,235,232,200,202,198,199,99
31.07.2020_17:04,234,236,234,198,199,204,199,100
31.07.2020_17:14,228,236,231,198,203,195,178,100
31.07.2020_17:24,232,230,231,198,199,201,200,99
31.07.2020_17:34,224,216,223,197,200,198,199,99
31.07.2020_17:44,219,217,221,199,199,200,191,99
31.07.2020_17:54,223,223,222,203,203,202,197,99
31.07.2020_18:04,221,220,220,205,200,200,200,100
31.07.2020_18:14,216,215,221,200,202,203,199,100
31.07.2020_18:24,221,213,219,196,197,202,200,99
31.07.2020_18:34,219,215,220,202,197,202,200,99
31.07.2020_18:44,217,215,221,203,197,198,200,99
31.07.2020_18:54,223,216,220,194,200,199,199,100
31.07.2020_19:04,218,217,217,201,201,195,200,100
31.07.2020_19:14,219,220,221,201,199,197,199,99
31.07.2020_19:24,222,223,220,200,198,198,200,100
31.07.2020_19:35,216,223,220,197,199,202,199,99
31.07.2020_19:45,221,217,219,204,200,201,199,99
31.07.2020_19:55,222,218,221,202,201,199,199,100
31.07.2020_20:05,215,222,221,195,201,201,199,100
31.07.2020_20:15,217,210,216,203,203,202,179,100
31.07.2020_20:25,211,210,214,199,198,201,191,99
31.07.2020_20:35,205,205,210,197,202,199,188,99
31.07.2020_20:45,199,201,206,203,201,201,183,100
31.07.2020_20:55,193,195,203,200,201,203,177,100
31.07.2020_21:05,187,191,199,199,198,202,172,100
31.07.2020_21:15,182,187,195,199,200,197,166,94
31.07.2020_21:25,177,183,192,198,199,201,161,84
31.07.2020_21:35,172,178,190,199,200,203,156,79
31.07.2020_21:45,164,174,186,199,201,197,151,76
31.07.2020_21:55,158,169,182,197,201,202,146,73
31.07.2020_22:05,152,164,179,196,201,204,141,71
31.07.2020_22:15,147,160,175,195,196,197,137,69
31.07.2020_22:25,142,156,172,187,181,181,133,68
31.07.2020_22:35,137,152,169,179,175,174,129,66
31.07.2020_22:45,132,149,166,173,170,169,125,65
31.07.2020_22:55,128,145,163,170,166,165,122,63
31.07.2020_23:05,125,142,160,165,160,158,118,62
31.07.2020_23:15,121,140,157,159,156,158,115,61
31.07.2020_23:25,118,137,154,157,153,153,111,60
31.07.2020_23:35,115,134,152,155,149,150,108,60
31.07.2020_23:45,112,132,149,151,147,147,106,59
31.07.2020_23:55,108,129,147,146,142,144,103,58
01.08.2020_00:05,105,127,144,144,139,141,100,57
01.08.2020_00:15,103,125,141,141,136,142,97,55
01.08.2020_00:25,100,123,139,141,136,140,95,53
01.08.2020_00:35,97,121,137,139,134,138,92,52
01.08.2020_00:45,96,118,135,139,133,140,90,52
01.08.2020_00:55,93,116,133,136,131,138,88,51
01.08.2020_01:05,91,114,131,134,129,137,86,50
01.08.2020_01:15,88,112,128,134,128,133,84,49
01.08.2020_01:25,87,110,126,131,127,133,82,48
01.08.2020_01:35,85,108,123,131,124,134,80,47
01.08.2020_01:45,83,106,122,131,124,131,78,46
01.08.2020_01:55,82,105,119,132,126,131,76,46
01.08.2020_02:05,80,103,118,132,123,129,75,45
01.08.2020_02:15,78,101,116,131,125,131,73,45
01.08.2020_02:25,75,98,112,130,124,130,72,44
01.08.2020_02:35,74,97,110,131,124,130,70,44
01.08.2020_02:45,73,95,108,131,124,129,69,43
01.08.2020_02:55,72,94,107,130,123,131,67,43
01.08.2020_03:05,71,93,105,130,124,129,66,43
01.08.2020_03:15,69,92,103,130,124,131,65,42
01.08.2020_03:25,68,90,102,131,122,125,63,42
01.08.2020_03:35,68,89,100,128,123,123,62,41
01.08.2020_03:45,67,88,99,127,120,118,61,41
01.08.2020_03:55,66,86,97,126,122,116,60,40
01.08.2020_04:05,65,85,96,126,122,117,59,40
01.08.2020_04:15,64,84,95,125,120,116,58,39
01.08.2020_04:25,63,83,93,126,118,114,57,39
01.08.2020_04:35,63,82,92,122,119,110,56,39
01.08.2020_04:45,62,80,91,122,118,111,55,39
01.08.2020_04:55,61,79,89,122,117,110,55,38
